2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Training Configuration
2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Runs: 50
2026-01-07 11:17:13 | INFO     | q_learning | Episodes per run: 300
2026-01-07 11:17:13 | INFO     | q_learning | Learning rate: 0.001
2026-01-07 11:17:13 | INFO     | q_learning | Gamma (discount): 0.99
2026-01-07 11:17:13 | INFO     | q_learning | Epsilon (exploration): 0.1
2026-01-07 11:17:13 | INFO     | q_learning | Render mode: DISABLED
2026-01-07 11:17:13 | INFO     | q_learning | Verbose logging: DISABLED
2026-01-07 11:17:13 | INFO     | q_learning | WandB Project: dqn_cartpole
2026-01-07 11:17:13 | INFO     | q_learning | WandB Group: CartPole-v1_DQN_20260107_111713
2026-01-07 11:17:13 | INFO     | q_learning | Log file: ./output/training_20260107_111713.log
2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | 
================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Starting Run 1/50
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   29 | Reward:   9.00 | Steps:    9 | Avg(10):  10.50 | Loss: 5.773768
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   30 | Reward:  12.00 | Steps:   12 | Avg(10):  10.70 | Loss: 5.206981
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   31 | Reward:  10.00 | Steps:   10 | Avg(10):  10.70 | Loss: 3.719906
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   32 | Reward:  10.00 | Steps:   10 | Avg(10):  10.70 | Loss: 5.255013
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   33 | Reward:   9.00 | Steps:    9 | Avg(10):  10.20 | Loss: 5.507260
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   34 | Reward:   9.00 | Steps:    9 | Avg(10):   9.90 | Loss: 5.266156
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   35 | Reward:  10.00 | Steps:   10 | Avg(10):   9.90 | Loss: 4.474377
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   36 | Reward:  10.00 | Steps:   10 | Avg(10):  10.00 | Loss: 4.247743
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   37 | Reward:   9.00 | Steps:    9 | Avg(10):   9.90 | Loss: 4.456585
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   38 | Reward:  10.00 | Steps:   10 | Avg(10):   9.80 | Loss: 3.675414
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   39 | Reward:  13.00 | Steps:   13 | Avg(10):  10.20 | Loss: 5.147977
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   40 | Reward:   9.00 | Steps:    9 | Avg(10):   9.90 | Loss: 3.812514
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   41 | Reward:  11.00 | Steps:   11 | Avg(10):  10.00 | Loss: 4.215384
